Age (ka),Insolation (W/m^2)
1036,491.3751878
1037,483.6496637
1038,476.2319914
1039,469.531435
1040,463.9818148
1041,460.0730783
1042,458.3685942
1043,459.4119753
1044,463.6695923
1045,471.342359
1046,482.1878056
1047,495.3288149
1048,509.096627
1049,521.2671984
1050,529.5382192
1051,532.3448752
1052,529.4109788
1053,521.7373328
1054,510.9464284
1055,498.7318323
1056,486.3751908
1057,474.6503987
1058,463.9976549
1059,454.6487273
1060,446.8686107
1061,441.0406645
1062,437.6983497
1063,437.518934
1064,441.2320922
1065,449.4293853
1066,462.3686553
1067,479.6666796
1068,499.9723444
1069,520.8749905
1070,539.244781
1071,552.1177172
1072,557.7428227
1073,556.2396112
1074,549.1427387
1075,538.5532968
1076,526.389792
1077,513.9753592
1078,502.0035841
1079,490.8197709
1080,480.6013224
1081,471.4899981
1082,463.8035605
1083,457.9580017
1084,454.4646793
1085,453.8711515
1086,456.5953541
1087,462.7988628
1088,472.1515611
1089,483.7656221
1090,496.1167444
1091,507.2249722
1092,515.1673493
1093,518.6932876
1094,517.5327346
1095,512.4086584
1096,504.5989694
1097,495.4963796
1098,486.2303779
1099,477.5886975
1100,470.0875195
1101,464.0687258
1102,459.7518837
1103,457.362897
1104,457.0937353
1105,459.0522024
1106,463.292179
1107,469.6503365
1108,477.7365643
1109,486.9529882
1110,496.4702797
1111,505.4137437
1112,512.9607412
1113,518.5275569
1114,521.8593402
1115,522.9965398
1116,522.2725052
1117,520.1488914
1118,517.0963859
1119,513.579266
1120,509.9884125
1121,506.6348369
1122,503.7242536
1123,501.3698574
1124,499.6153056
1125,498.3198834
1126,497.3281479
1127,496.3578
1128,495.1068479
1129,493.364042
1130,490.9346463
1131,487.8444997
1132,484.1795728
1133,480.2156685
1134,476.2310835
1135,472.6355742
1136,469.7633718
1137,468.0060337
1138,467.6950883
1139,469.096523
1140,472.324909
1141,477.3710828
1142,483.8845405
1143,491.2905365
1144,498.7161703
1145,505.1598484
1146,509.691579
1147,511.7118933
1148,511.0721544
1149,508.0568233
1150,503.2387923
1151,497.3284673
1152,490.9560897
1153,484.6441731
1154,478.8513885
1155,473.9387686
1156,470.3017446
1157,468.3679481
1158,468.6023918
1159,471.3652661
1160,476.97717
1161,485.3830418
1162,496.1435103
1163,508.2522338
1164,520.1455608
1165,529.9990894
1166,536.1631203
1167,537.6441081
1168,534.4491913
1169,527.3731041
1170,517.6389332
1171,506.4796899
1172,494.965134
1173,483.7814407
1174,473.4843001
1175,464.4629963
1176,457.1477814
1177,451.9573919
1178,449.3907805
1179,449.8455388
1180,453.5944156
1181,460.620341
1182,470.4490552
1183,482.0424181
1184,493.9285863
1185,504.4083582
1186,512.039547
1187,516.0339423
1188,516.4374603
1189,513.8967577
1190,509.4116016
1191,503.9458906
1192,498.2639119
1193,492.9333652
1194,488.3090486
1195,484.7343586
1196,482.4571914
1197,481.7223806
1198,482.6924081
1199,485.4627248
1200,489.8821483
1201,495.603601
1202,501.9624158
1203,508.1331104
1204,513.1184021
1205,516.1204978
1206,516.5886841
1207,514.4459519
1208,509.9887856
1209,503.783691
1210,496.5512929
1211,488.9793777
1212,481.6713058
1213,475.1616928
1214,469.933379
1215,466.3417027
1216,464.7186056
1217,465.2611951
1218,467.9745909
1219,472.6535154
1220,478.8050326
1221,485.6693479
1222,492.3203566
1223,497.8052216
1224,501.4483726
1225,502.9036701
1226,502.2708182
1227,499.9247602
1228,496.414984
1229,492.3116164
1230,488.1032503
1231,484.2220084
1232,481.0935969
1233,479.0299242
1234,478.4381209
1235,479.6114828
1236,482.8536816
1237,488.2622509
1238,495.7149444
1239,504.7016228
1240,514.3215779
1241,523.336978
1242,530.3888205
1243,534.2894782
1244,534.4475317
1245,530.9010068
1246,524.235447
1247,515.4037613
1248,505.3164119
1249,494.834284
1250,484.5711464
1251,475.0015154
1252,466.5470887
1253,459.6244821
1254,454.6885356
1255,452.2069043
1256,452.6040362
1257,456.1516389
1258,462.8172949
1259,472.1137869
1260,483.0201547
1261,494.0048081
1262,503.3078112
1263,509.4358118
1264,511.6227453
1265,510.0004083
1266,505.4076006
1267,499.0039774
1268,491.849421
1269,484.8218423
1270,478.508581
1271,473.3085852
1272,469.5285361
1273,467.4658467
1274,467.4000043
1275,469.5674925
1276,474.1115912
1277,480.982417
1278,489.8266046
1279,499.9292816
1280,510.3318471
1281,519.795764
1282,527.2260614
1283,531.782287
1284,533.1585606
1285,531.5247745
1286,527.441932
1287,521.6111542
1288,514.7723072
1289,507.5498017
1290,500.471399
1291,494.008007
1292,488.4780117
1293,484.1349855
1294,481.142743
1295,479.5166838
1296,479.0761163
1297,479.5064089
1298,480.3767036
1299,481.1493633
1300,481.4047689
1301,480.8339918
1302,479.4157705
1303,477.2999074
1304,474.8112072
1305,472.3749176
1306,470.4055974
1307,469.3345574
1308,469.5301124
1309,471.2828208
1310,474.7906487
1311,480.0920306
1312,487.0425334
1313,495.207522
1314,503.8871419
1315,512.1127086
1316,518.9172862
1317,523.4138863
1318,525.0981769
1319,523.9164528
1320,520.1788797
1321,514.4809416
1322,507.4919606
1323,499.8351336
1324,492.034906
1325,484.5227853
1326,477.7784479
1327,472.2357832
1328,468.4029379
1329,466.8433347
1330,468.015063
1331,472.2964537
1332,479.7265187
1333,489.8504488
1334,501.5860897
1335,513.2292548
1336,522.7335957
1337,528.225315
1338,528.7178356
1339,524.3230431
1340,516.0884381
1341,505.5180012
1342,493.9654213
1343,482.4769592
1344,471.6845445
1345,461.9532525
1346,453.6048414
1347,446.9326692
1348,442.3699982
1349,440.4636865
1350,441.8514627
1351,447.0922097
1352,456.5974457
1353,470.2835805
1354,487.413014
1355,506.2668171
1356,524.3471623
1357,538.8011942
1358,547.4314114
1359,549.3493923
1360,545.2721447
1361,536.8578931
1362,526.0355709
1363,514.2909325
1364,502.628923
1365,491.582414
1366,481.4169989
1367,472.3321853
1368,464.5830996
1369,458.5278208
1370,454.709346
1371,453.6540455
1372,455.8924251
1373,461.6630367
1374,470.8885067
1375,482.8242058
1376,496.0712515
1377,508.6190152
1378,518.34661
1379,523.596649
1380,523.7524419
1381,519.3344495
1382,511.6438758
1383,502.1432011
1384,492.1750836
1385,482.6546399
1386,474.1610305
1387,467.1316692
1388,461.8216692
1389,458.4809481
1390,457.317878
1391,458.4851154
1392,462.048807
1393,467.8640678
1394,475.5386496
1395,484.4818145
1396,493.8566465
1397,502.7487928
1398,510.3876865
1399,516.1916965
1400,519.9125157
1401,521.6536014
1402,521.6913495
1403,520.4785023
1404,518.4401794
1405,515.9848859
1406,513.4256785
1407,510.9846945
1408,508.782772
1409,506.7847184
1410,504.9089173
